Data;DataHora;Grupo;Transportadora;ChaveNFe;NumeroNF;ShipmentOrderID;UF;FaixaPeso;PesoRealKg;ValorCobrado;ValorEBBEstimado;Economia
2026-06-08;2026-06-08 18:04:50.633;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003935481794030566;393548;31695053;PR;30kg+;83.42655750000002;210.66;537.3662837837838;326.7062837837839
2026-06-11;2026-06-11 12:25:38.600;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003756641800009001;375664;31717164;PR;30kg+;42.0;262.73;537.3662837837838;274.6362837837838
2026-06-11;2026-06-11 12:30:52.300;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003756651797208840;375665;31717254;RS;30kg+;114.7314375;346.25;639.6241803278688;293.37418032786877
2026-06-12;2026-06-12 14:34:48.673;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003826251029496927;382625;31725782;RS;10-20kg;16.37;111.48;359.7268;248.2468
2026-06-18;2026-06-18 09:25:27.890;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003982411432058033;398241;31775519;PR;30kg+;119.3549175;245.83;537.3662837837838;291.5362837837838
2026-06-22;2026-06-22 18:06:35.647;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003776201691134522;377620;31808866;SC;30kg+;41.97;229.26;573.3730337078651;344.11303370786516
2026-06-26;2026-06-26 11:25:27.877;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123761502185249;412376;31833322;RS;10-20kg;12.445524;102.72;359.7268;257.0068
2026-07-14;2026-07-14 12:06:40.890;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281611043525640;428161;31961415;PR;20-30kg;20.96586;103.85;295.78093023255815;191.93093023255815
2026-07-15;2026-07-15 12:20:49.740;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004103691584961112;410369;31971085;RS;10-20kg;17.577;99.57;359.7268;260.15680000000003
2026-07-29;2026-07-29 09:05:00.463;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004335441068957464;433544;32082793;PR;20-30kg;20.96586;101.49;295.78093023255815;194.29093023255814
