Regra;Descricao;Categoria
1;Bloqueia MARYK das pesadas com origem Cotia;Oportunidade
2;Bloqueia MARYK das pesadas de todas as origens;Oportunidade
10;Envia BRBAY com destino MS e origem Cotia para Carvalima;Oportunidade
26;Leilão Default - 0% e 0%;Default
38;Bloqueia Linha branca origem Serra de Jad, Pajuçara, Carriers, Dialogo, Jamef, Atrus, Magalu, iMile, J&T e Sedex;Regra operacional
39;Bloqueia Linha branca origem Cotia de Jad, Pajuçara, Carriers, Dialogo, Jamef, Atrus, Magalu, iMile, J&T e Sedex;Regra operacional
40;Bloqueia Linha branca todas as origens de Jad, Pajuçara, Carriers, Dialogo, Jamef, Atrus, Magalu, iMile, J&T e Sedex;Regra operacional
82;Bloqueia TV origem Serra para 56 - Pajucara  x57 - Carriers  x66 - Dialogo - SP  x92 - JeT EXPRESS  x119 - MAGALU  x127 - Correios SEDEX - 34028316000103  x;Regra operacional
83;Bloqueia TV origem Cotia 56 - Pajucara  x57 - Carriers  x66 - Dialogo - SP  x92 - JeT EXPRESS  x110 - ATRUS INTERMEDIACAO  x119 - MAGALU  x127 - Correios SEDEX - 34028316000103  x;Regra operacional
84;Bloqueia TV Todas as origens 56 - Pajucara  x57 - Carriers  x66 - Dialogo - SP  x92 - JeT EXPRESS  x110 - ATRUS INTERMEDIACAO  x119 - MAGALU  x127 - Correios SEDEX - 34028316000103  x139 - EU ENTREGO SISTEMAS S/A  x;Regra operacional
93;Sugere Carvalima com origem Cotia para MT e MS;Oportunidade
153;Bloqueia Cadeiras de itau de sair para Carriers, Dialogo, J&T, Magalu, TodoBrasil;Regra operacional
161;Bloqueia HPAMZ, HPB2W e HPMLU com origem Serra de sair por Sedex;Oportunidade
162;Bloqueia HPAMZ, HPB2W e HPMLU com origem Coria de sair por Sedex;Oportunidade
163;Bloqueia HPAMZ, HPB2W e HPMLU com todas as origens de sair por Sedex;Oportunidade
166;Bloqueia Todo Brasil, iMile e Pajuçara com origem Serra de levar notebook;Regra operacional
167;Bloqueia Magalu, com origem Cotia de levar carrinho de compras;Regra operacional
170;Bloqueia Atrus em várias campamnhas especificas;Oportunidade
181;Bloqueia várias transportadoras de coletar no escritorio;Regra operacional
182;Bloqueia Magalu em uma lista de Cidades que eles cortaram ;Regra operacional
184;Bloqueia Dialogo, J&T e Magalu nas cadeiras de itau origem Serra;Regra operacional
186;Bloqueia Carriers de Serra;Regra operacional
187;Bloqueia Carriers em Cotia;Regra operacional
190;Bloqueia BRBAY em Carriers, Atrus, todo brasil, Sedex, Eu entrego;Oportunidade
198;Bloqueia Sedex de Cuaba;Regra operacional
202;Bloqueia todas as transportadoras em hub09 e hub10 , exceto aquelas com SLA acima de 97%  em VGP;Oportunidade
206;Bloqueia Celular de todas, exceto sedex, Carvalima, R3, Atrus, Magalu, LSP e Jamef origem Serra;Regra operacional
207;Bloqueia Magalu e Dialogo de alguns SKU's;Regra operacional
208;Bloqueia Jamef de dois SKUs;Regra operacional
211;Bloqueia Jamef de dois SKUs;Regra operacional
213;Bloqueia HUB09 de JeT e TodoBrasil;Regra operacional
216;Bloqueiro de Lauto;Oportunidade
217;Bloqueiro de Lauto;Oportunidade
218;Bloqueiro de Lauto;Oportunidade
219;Bloqueiro de Lauto;Oportunidade
220;Bloqueiro de Lauto;Oportunidade
